Case #1: Impossible
Case #2: Impossible
Case #3: 50
30 28 162286
20 48 244878
14 30 258595
25 37 305204
41 8 323662
43 15 356762
23 40 360289
39 1 372598
3 47 393045
40 47 432384
6 34 443583
12 29 465588
32 41 474933
18 23 512059
26 25 514880
6 13 533011
10 38 536709
47 18 545078
38 12 554440
37 12 561145
40 49 567174
43 26 567682
9 4 571978
31 14 612016
4 31 612644
50 25 614277
49 25 615391
48 15 643215
25 36 675233
4 8 677276
13 31 681798
44 21 701067
27 16 707959
3 24 744172
18 27 762843
16 10 772853
45 25 801571
34 14 809055
17 39 817696
46 30 862981
48 28 870487
46 40 871773
36 32 882897
44 49 913528
36 31 918413
50 16 919934
9 18 962742
19 9 965432
35 16 974383
20 3 998827
Case #4: 123
26 1 21503
9 26 23757
6 19 25981
22 31 30033
19 9 36623
27 26 40320
26 8 49260
27 22 56135
19 26 59084
2 9 60469
20 19 62406
20 2 62988
4 13 65967
17 19 74120
17 26 81242
8 6 82363
1 16 89238
22 4 102037
20 27 102769
10 18 107151
6 4 107661
4 1 107725
26 29 108401
17 27 110261
25 6 118510
26 18 127609
11 2 128803
6 14 130452
14 2 134061
29 6 141504
6 16 143844
20 4 148671
17 2 150042
8 7 151495
25 26 151613
15 2 153684
21 18 156178
6 31 159591
30 10 162349
11 27 168584
19 21 171262
14 20 172621
27 10 173790
23 9 177565
29 25 178411
14 17 178591
12 20 179240
21 1 179899
25 27 180632
7 2 182336
9 10 183666
7 4 188457
2 16 190842
6 21 191499
12 24 194355
24 15 194675
8 13 198371
7 22 198690
21 27 198716
8 21 198945
4 24 206573
14 16 208090
18 16 208228
15 26 212186
10 2 213571
30 9 216026
11 16 218500
20 7 223725
10 1 226141
17 23 235050
21 17 239638
6 11 242007
17 3 242622
24 9 246277
10 8 247972
22 15 249600
18 23 251295
3 27 252436
23 11 261567
26 24 265909
13 21 268970
15 12 269936
20 23 275298
23 31 280296
9 3 280845
30 31 284969
30 29 285691
30 20 287695
18 11 293124
15 18 293577
24 23 296135
5 15 297672
4 3 298338
7 3 301567
13 15 305334
23 13 305997
5 17 310065
30 7 311896
24 11 314611
24 18 320957
10 25 328673
28 19 331847
10 23 343168
3 29 350662
28 16 352129
24 30 359472
30 23 363469
23 15 365994
24 29 368644
3 18 372750
15 3 374060
30 15 378391
5 13 381241
7 12 384925
12 10 394870
11 5 398767
16 5 402675
5 7 411181
30 3 427948
21 28 450385
3 28 487602
13 28 489912
24 28 588185
Case #5: 96
4 25 21413
6 15 23156
1 10 32545
12 26 43071
15 19 43826
22 16 49772
25 26 68765
15 17 69478
15 10 73782
1 15 79525
11 7 80005
15 11 81039
25 12 84822
22 18 88753
15 13 94638
5 22 98349
4 1 102058
9 12 116988
25 10 117728
4 9 121269
16 20 126748
26 3 130266
18 8 141382
11 3 141420
26 10 143667
13 21 146761
1 26 149410
2 15 154656
13 3 155019
6 24 158837
4 6 166451
14 7 167161
11 20 168215
26 23 168311
19 18 170275
20 15 170792
12 23 179481
15 21 181916
4 19 187121
22 7 187657
26 15 190647
18 6 190945
9 20 191510
11 5 192673
24 3 196062
13 23 197379
9 3 204183
17 24 205159
11 12 206732
20 23 208516
10 24 209463
6 12 210086
24 1 215206
24 11 216720
17 14 220635
5 6 222409
23 1 223017
16 23 226114
4 16 228733
17 5 229328
9 14 231727
12 5 231788
11 25 232426
5 4 236069
13 4 237933
24 20 239425
9 23 242250
3 21 242297
7 26 243666
12 17 256408
9 7 262919
16 9 262921
18 20 263812
15 9 264564
12 22 269384
16 6 273064
23 18 275029
26 16 276085
4 24 278976
1 5 280169
1 22 281019
22 17 284680
23 6 287410
25 18 289127
18 14 304029
19 23 308080
25 8 310975
21 12 311818
10 14 312591
14 1 318334
25 20 326930
9 2 370492
8 11 393404
21 8 396603
2 16 403813
2 8 483598
Case #6: 69
21 7 9102
11 10 11624
7 3 29531
3 8 32194
4 3 33363
12 7 52061
4 12 55893
12 20 89739
20 22 96594
19 11 107590
9 6 108514
7 18 112152
9 12 126399
11 16 127926
9 4 147050
1 19 149974
4 15 160702
15 8 167197
5 7 167868
5 14 168725
17 8 170386
8 5 170531
12 2 182315
8 6 188509
13 10 193366
23 5 196610
5 16 203116
1 14 203264
17 12 219784
18 17 220813
1 20 223667
8 13 227531
9 1 231133
1 23 231149
4 11 232205
2 9 236642
8 2 237039
10 7 239997
9 22 240660
8 22 241057
6 19 254930
17 9 255633
18 19 257374
13 5 263361
13 17 264206
19 20 265521
18 2 271462
18 15 272932
19 9 273091
14 12 275601
20 10 277675
23 18 282125
23 4 287787
13 19 289332
19 2 290581
7 23 291619
19 22 294599
9 23 295034
16 6 298514
16 18 300951
20 16 309209
4 14 315672
9 16 316675
14 21 328606
2 16 334165
1 17 353712
17 14 358842
15 16 436065
14 2 451887
Case #7: Impossible
Case #8: 90
24 17 3306
12 20 6118
24 3 7576
13 20 8249
27 31 10052
12 31 12045
5 30 13003
5 1 14385
6 32 17345
20 24 19836
10 22 20621
25 11 21999
30 31 22556
12 17 22648
6 28 22689
17 28 22947
13 17 24779
9 7 26273
5 15 28325
34 7 30085
5 27 31819
12 34 32664
12 9 33778
3 31 38711
22 3 39448
28 20 39477
29 31 40436
29 27 40629
3 32 41147
8 36 44508
22 28 46522
22 17 49224
7 1 49735
17 8 50672
17 9 51356
27 11 53587
35 7 56580
25 22 57983
12 35 59159
20 33 62984
15 19 66171
8 21 66528
18 8 68045
16 4 68880
35 28 70312
