150
50 99629
100000 33578 99629
93968 58008 99629
7777 61870 99629
63063 0 97400
49423 0 88597
62415 0 75824
10072 0 56236
62713 0 24174
85176 0 67480
6616 18900 99629
76738 0 51095
57889 26965 99629
38741 20514 99629
70183 81 55049
10602 15490 83959
57447 5268 34357
54944 44803 99629
4636 8185 60844
64296 13420 99629
44812 0 94407
77498 10027 99629
67244 21994 79214
1358 0 37130
27065 0 58248
9235 0 97386
34017 30123 99629
56623 16271 93391
37431 29027 99629
80162 0 63839
24606 0 65291
82671 12616 99629
97632 10606 99629
44487 7651 85687
16618 0 53003
93589 50440 99629
9665 63272 99629
59069 0 90143
54268 0 48718
55186 16785 99629
42975 11523 99629
29368 65377 99629
9458 37811 99629
80076 28844 63130
40271 0 55631
56686 45484 86363
43977 0 65067
4344 35718 89107
28882 0 51635
15018 4056 99629
30523 0 58753
27 744
53 317 744
29 0 687
22 0 382
48 124 402
1 212 613
43 290 744
47 282 476
26 256 744
8 301 744
15 0 696
13 309 639
4 443 744
14 117 744
10 0 485
11 0 640
5 160 744
7 0 744
40 0 355
44 182 414
52 63 744
6 0 578
17 0 358
24 0 636
13 0 302
12 0 733
25 0 657
51 0 717
4 382
39 108 359
83 0 367
38 0 265
60 0 378
39 961
72 114 961
97 0 780
124 341 961
42 23 961
70 238 961
119 76 961
87 65 431
4 0 727
75 0 616
129 149 961
106 699 961
87 607 820
31 0 751
125 0 871
6 718 961
69 198 451
93 561 961
79 0 372
84 366 961
86 0 683
2 0 624
113 113 886
99 0 955
100 0 839
80 8 589
62 0 851
71 0 446
116 0 330
73 0 450
32 686 961
85 357 961
49 0 535
110 0 877
61 281 961
103 0 729
121 303 961
21 22 961
68 413 961
29 102 961
33 136
124 62 115
25 35 136
96 38 136
21 56 136
55 0 119
115 46 136
57 0 113
112 0 42
90 0 127
46 0 127
108 0 132
60 0 87
125 0 89
100 31 136
122 78 136
2 99 136
28 71 136
35 3 55
78 0 110
19 0 108
74 39 136
83 0 124
18 0 84
84 18 136
42 0 133
9 0 118
139 0 132
137 0 106
89 13 112
61 0 114
104 0 131
68 0 100
11 0 43
27 176
2 9 176
57 7 78
19 79 176
3 56 101
39 0 170
16 31 176
59 0 75
20 116 160
1 54 176
28 0 123
0 37 77
31 8 176
8 0 37
34 20 176
53 24 112
42 0 142
46 0 171
63 90 176
56 74 176
4 82 176
29 0 164
11 68 176
9 46 176
47 89 151
15 0 135
36 0 140
37 8 176
15 746
11 382 746
8 0 739
5 123 746
38 78 746
81 466 674
65 0 598
31 357 727
39 99 697
82 0 305
0 0 679
33 0 518
66 0 468
54 0 664
67 237 736
43 0 624
11 77
59 0 49
69 0 42
53 2 77
5 0 50
7 32 77
70 0 67
62 0 71
65 2 77
67 44 77
16 0 35
71 0 60
32 216
63 24 100
108 0 176
86 91 216
84 57 209
32 3 216
12 17 216
72 38 216
69 4 216
49 15 216
17 0 186
66 0 174
56 0 59
102 0 185
4 10 216
94 0 190
38 117 216
75 43 216
31 55 129
88 93 216
10 134 216
68 0 147
45 0 106
34 89 216
43 77 216
70 81 216
8 72 216
106 41 216
14 0 183
83 86 143
105 68 187
1 79 216
45 116 216
41 939
5 0 894
115 218 939
1 28 686
87 0 939
111 583 939
85 541 939
11 0 639
21 0 411
117 354 899
121 414 939
101 0 684
88 0 818
16 304 939
86 0 913
73 539 903
106 265 939
61 116 939
84 429 939
118 182 723
13 6 939
43 62 939
105 492 939
83 555 939
70 180 939
38 0 794
42 0 772
108 0 651
17 0 624
55 12 939
4 0 903
44 253 939
58 0 530
39 526 939
93 253 939
119 0 717
24 72 939
33 0 570
66 80 939
56 327 939
67 175 939
95 230 939
25 614
3 497 552
3 133 298
12 395 522
9 112 493
11 567 614
0 364 401
4 105 386
2 0 449
4 73 80
4 475 505
6 275 423
1 20 380
10 29 180
0 41 352
8 56 157
6 0 70
11 284 317
7 247 385
10 212 614
8 422 469
12 0 337
8 504 557
1 399 598
3 424 459
0 452 486
30 481
115 0 322
118 152 262
17 0 326
111 154 481
45 0 229
94 0 360
101 223 481
72 265 481
55 0 129
54 125 467
10 0 371
87 0 439
59 60 481
13 84 211
38 320 481
102 59 233
51 316 481
23 271 481
2 0 284
64 0 451
31 0 481
74 0 465
36 50 481
37 0 435
76 0 312
50 0 407
57 0 402
109 228 481
33 112 425
61 166 481
43 644
4 0 488
39 0 558
80 162 644
28 0 640
49 99 644
95 237 644
2 0 412
123 0 558
31 107 644
97 480 644
121 139 644
32 0 307
133 0 611
35 82 413
11 0 405
34 0 630
88 0 322
104 0 617
43 185 630
37 0 461
68 206 644
41 23 410
103 47 184
65 215 644
102 0 629
147 0 468
134 166 352
25 213 500
22 0 390
29 62 644
44 0 499
3 180 644
5 63 644
136 276 644
81 0 302
148 0 283
19 0 231
61 0 612
59 6 644
7 23 644
45 93 465
84 0 239
98 0 282
22 407
5 23 407
45 122 407
38 0 186
37 196 407
53 0 351
30 10 407
24 136 407
71 5 407
4 0 327
43 31 317
88 214 407
12 85 194
85 0 295
25 40 407
34 0 376
77 0 269
10 0 266
69 0 377
72 0 306
48 237 407
22 0 407
32 23 282
27 82
1 24 82
3 0 79
24 0 63
20 41 77
25 35 82
